1,0,0,[0.99, 0.99, 0.99, 0.99]
1,0,1,[0.99, 0.99, 1.0, 1.0]
1,0,2,[0.99, 0.99, 0.99, 0.99]
1,0,3,[0.99, 0.99, 1.0, 1.0]
1,0,4,[0.99, 0.99, 0.99, 0.99]
1,0,5,[0.99, 0.99, 0.99, 0.99]
1,0,6,[0.99, 0.99, 0.99, 0.99]
1,0,7,[0.99, 0.99, 1.0, 1.0]
1,0,8,[0.99, 0.99, 0.99, 0.99]
1,0,9,[0.99, 0.99, 0.99, 0.99]
1,0,10,[0.99, 0.99, 0.99, 0.99]
1,1,0,[0.99, 0.98, 0.99, 0.99]
1,1,1,[0.99, 0.99, 0.99, 0.99]
1,1,2,[0.99, 0.99, 0.99, 0.99]
1,1,3,[0.99, 0.99, 0.99, 0.99]
1,1,4,[0.99, 0.99, 0.99, 0.99]
1,1,5,[0.98, 0.97, 0.98, 0.98]
1,1,6,[0.99, 0.99, 0.99, 0.99]
1,1,7,[0.97, 0.96, 0.96, 0.97]
1,1,8,[0.99, 0.99, 0.99, 0.99]
1,1,9,[0.98, 0.98, 0.99]
1,1,10,[0.99, 0.99, 0.99, 0.99]
1,2,0,[0.99, 0.99, 0.99, 0.99]
1,2,1,[0.98, 0.98, 0.98, 0.98]
1,2,2,[0.98, 0.97, 0.97, 0.97]
1,2,3,[0.97, 0.97, 0.98, 0.97]
1,2,4,[0.99, 0.99, 0.99]
1,2,5,[0.99, 0.99, 0.99, 0.99]
1,2,6,[0.96, 0.97, 0.97, 0.98]
1,2,7,[0.99, 0.98, 0.98, 0.97]
1,2,8,[0.95, 0.96, 0.96, 0.96]
1,2,9,[0.96, 0.97, 0.98, 0.98]
1,2,10,[0.93, 0.95, 0.94, 0.94]
1,3,0,[0.98, 0.98, 0.97, 0.97]
1,3,1,[0.97, 0.97, 0.97, 0.97]
1,3,2,[0.99, 0.99, 0.98, 0.99]
1,3,3,[1.0, 1.0, 0.99, 0.99]
1,3,4,[0.99, 0.99, 0.98, 0.97]
1,3,5,[0.98, 0.99, 0.99, 0.99]
1,3,6,[0.93, 0.93, 0.95, 0.95]
1,3,7,[0.96, 0.97, 0.96, 0.96]
1,3,8,[0.99, 0.97, 0.97, 0.98]
1,3,9,[0.95, 0.95, 0.95, 0.96]
1,3,10,[0.94, 0.94, 0.95, 0.95]
1,4,0,[0.99, 0.99, 0.99, 0.99]
1,4,1,[0.97, 0.97, 0.97, 0.98]
1,4,2,[0.99, 0.99, 0.99, 0.99]
1,4,3,[0.99, 0.98, 0.97]
1,4,4,[0.96, 0.95, 0.96, 0.96]
1,4,5,[0.91, 0.94, 0.94, 0.94]
1,4,6,[0.96, 0.97, 0.98, 0.98]
1,4,7,[0.98, 0.97, 0.97, 0.96]
1,4,8,[0.92, 0.93, 0.92, 0.92]
1,4,9,[0.93, 0.93, 0.94, 0.94]
1,4,10,[0.95, 0.96, 0.97, 0.97]
1,5,0,[0.97, 0.97, 0.97, 0.97]
1,5,1,[0.93, 0.94, 0.95, 0.96]
1,5,2,[0.96, 0.96, 0.96, 0.96]
1,5,3,[0.96, 0.97, 0.97, 0.97]
1,5,4,[0.95, 0.95, 0.95, 0.95]
1,5,5,[0.91, 0.94, 0.94, 0.94]
1,5,6,[0.93, 0.95, 0.96, 0.97]
1,5,7,[0.86, 0.9, 0.91, 0.92]
1,5,8,[0.94, 0.93, 0.92, 0.93]
1,5,9,[0.99, 0.96, 0.96, 0.96]
1,5,10,[0.94, 0.91, 0.92, 0.92]
